,en,ru,zh
DESC_INPUT_EMAIL,"EMail cannot be longer than 30 symbols
If you lose your password you can send message(from this email) to Server Master(chaosus89@gmail.com) in order to restore access
If you leave this message empty or enter invalid data, you cannot restore your password and can lose access to your account forever
This email is private and only Server Master have access to it","EMail не может быть длиннее 30 символов
Если вы потеряли ваш пароль, вы можете послать просьбу восстановление(с этого адреса) на почту Мастера Сервера(chaosus89@gmail.com) для восстановления доступа
Если вы оставите это поле пустым или введёте неправильные данные, вы не сможете восстановить свой пароль и можете потерять доступ к своему аккаунту навсегда
Этот адрес приватный и только Мастер Сервера имеет доступ к нему.",
DESC_INPUT_MP_AVATAR,You can change your avatar by clicking on it.,Вы можете изменить свой аватар нажав на него.,
DESC_INPUT_MP_COUNTRY,"You can change your country, by clicking this button","Вы можете изменить свою страну, нажав эту кнопку",
DESC_INPUT_MP_FIRSTNAME,"Be careful, in order to prevent abusing, 
your first name can be changed only one time per hour.","Будьте внимательны, в целях предотвращения злоупотреблений, 
настоящее имя разрешено менять лишь раз в час.",
DESC_INPUT_MP_LASTNAME,"Be careful, in order to prevent abusing, 
your last name can be changed only one time per hour.","Будьте внимательны, в целях предотвращения злоупотреблений,
фамилию разрешено менять лишь раз в час.",
DESC_INPUT_MP_USERNAME,"Be careful, in order to prevent abusing, 
your username can be changed only one time per hour.","Будьте внимательны, в целях предотвращения злоупотреблений, 
имя аккаунта разрешено менять лишь раз в час.",
DESC_INPUT_PASSWORD,"Password cannot be less than 3 symbols and longer than 20
You can use any combination of latin or non-latin symbols and numbers","Пароль не может быть меньше 3 символов и длиннее 20
Вы можете использовать любую комбинацию из латинских и не-латинских букв и цифр, включая специальные символы",
DESC_INPUT_USE,Use,Используйте,
DESC_INPUT_USERNAME,"Username cannot be shorter than 3 symbols and longer than 12
These symbols should be latin letters in either capitals or numbers","Имя пользователя не может быть короче 3 символов и длиннее 12
Эти символы должны быть латинскими буквами в любом регистре или цифрами",
DESC_JOIN_ERROR,Joining error :,Ошибка присоединения :,
DESC_JOIN_ERROR_ALREADY_IN_USE,You already joined to this server !,Вы уже присоединены к этому серверу !,
DESC_JOIN_ERROR_SERVER_NOT_ANSWER,Server did not answer,Сервер не ответил,
DESC_JOINING_TO,Joining to,Присоединение к,
DESC_LOADING,Loading game...,Загружаем игру...,
DESC_LOCAL_SIDE,This parameter has no meaning in local game,Этот параметр не имеет значения в локальной игре,
DESC_MINUTES,Minutes:,Минуты:,
DESC_MP_ALREADY_JOINED,"You have already joined to game.
Please leave it before join.","Вы уже присоединены к игре.
Пожалуйста покиньте её прежде чем начинать новую.",
DESC_MP_GAME_IS_STARTED,Game is already started. Do you want join as watcher ? (not implemented yet),Игра уже запущена. Хотите присоединиться в качестве наблюдателя ? (not implemented yet),
DESC_MP_JOIN_CONFIRM,player wants to join into your room,хочет присоединиться к вашей комнате,
DESC_MP_JOIN_DECLINE,refused to accept you in room.,отклонил ваш запрос на присоединение к комнате.,
DESC_MP_RULE_VERSION,Version 1.0,Версия 1.0,
DESC_NICKNAME,"- Nickname cannot be empty or contains less than 3 symbols.
- Nickname can contain only latin letters in lower case and numbers ","- Никнейм не может быть пустым или содержать меньше 3 символов
- Никнейм может содержать только латинские буквы в нижнем регистре и цифры",
DESC_NICKNAME_ERROR,Error in nickname,Ошибка в никнейме,
DESC_NICKNAME_INPUT,"Nickname:
Supported lower and upper case latin letters and numbers
Up to 16 symbols","Ник:
Поддерживаются латинские буквы в обоих регистрах и цифры
До 16 символов",
DESC_OBSERVER,Observer,Наблюдатель,
DESC_OTHER_HANDICAPS,In all handicapped games you will play first as Black,Во всех форовых играх вы будете ходить первым за Чёрных,
DESC_PANEL_TRANSPARENCY,Panel's transparency:,Прозрачность панелей:,
DESC_PARSE_NOT_READY,"String validation is not yet implemented.
If you pass an incorrect string, the game is likely will crash","Проверка строки на правильность еще не внедрена в игру.
Если вы ввели неправильную строку, игра скорее всего вылетит.",
DESC_PASSWORD,"- Password cannot be empty or contains less than 3 symbols.
- Password can contain only latin letters in any case and numbers","- Пароль не может быть пустым или содержать меньше 3 символов
- Пароль может содержать только латинские буквы в любом регистре и цифры",
DESC_PASSWORD_ERROR,Error in password,Ошибка в пароле,
DESC_PASSWORD_INPUT,"Password:
Supported lower and upper case latin letters and numbers
Up to 18 symbols","Пароль:
Поддерживаются латинские буквы в обоих регистрах и цифры
До 18 символов",
DESC_PCHECK,Perpetual Check,Вечный шах,
DESC_PORT,Port:,Порт:,
DESC_PROFILE_SECURITY_NAME_USAGE,Dont show first name and last name to non-friend players,Не показывать настоящее имя и фамилию игрокам не из списка друзей,
DESC_PROFILE_SUCCESS,"Profile successfully created.
We recommend you to use a quick setup option and customize your game experience as much as you like.","Профиль успешно создан.
Мы рекомендуем вам воспользоваться опцией быстрой настройки, чтобы настроить интерфейс по своему вкусу.",
DESC_RECONNECT,Connection broken. Reconnecting...,Соединение разорвано. Восстановление связи...,
DESC_RESIGN,Are you sure you want to resign ?,Вы уверены что хотите сдаться ?,
DESC_RESTORE_PASSWORD,"Game can ask server for lost password.
If your IP address does not changed, the server will return it to you.
You can make only one request per day.
You can also register new account.","Игра может запросить сервер вернуть пароль.
Если ваш IP адрес не изменялся, сервер вернет вам его.
Вы можете сделать только одну попытку в день.
Если ничего не удаётся, вам придётся зарегистрироваться заново.",
DESC_SAVE,Do you want to save a game ?,Вы хотите сохранить игру ?,
DESC_SD,Are you sure you want to leave a game ?,Вы уверены что хотите покинуть игру ?,
DESC_SD_MP,Are you sure you want to leave a game and close a server ?,Вы уверены что хотите покинуть игру и закрыть сервер ?,
DESC_SD2,Game is already started,Игра уже стартовала,
DESC_SERVER_CREATION,Server creation…,Создание сервера…,
DESC_SERVER_SD,"Remote server is shutdowned, gameover","Удалённый сервер закрылся, игра окончена",
DESC_SETTINGS_CHANGED,You changed some settings. What do you want to do next ?,Вы изменили некоторые настройки. Ваши дальнейшие действия ?,
DESC_SETTINGS_SECTION_GAMEPLAY,Here you can change a gameplay preferences,Здесь вы можете изменить общие игровые настройки,
DESC_SETTINGS_SECTION_GRAPHICS,"Here you can change the various graphics settings,
and improve game performance on your PC","Здесь вы можете изменить различные настройки графики и
улучшить игровую производительность на вашем ПК",
DESC_SETTINGS_SECTION_INPUT,"Use any key combination
Backspace - resets value to default
Escape - cancels current input
Enter - clear input","Используйте любую комбинацию кнопок
Backspace - сбрасывает на значение по умолчанию
Escape - отменяет текущий ввод
Enter - очищает ввод",
DESC_SETTINGS_SECTION_WIDGETS,"In this submenu you can setup your widgets as you like.
Widgets are placed on the top bar.
Note that not all widgets can be visible at once, game have limit on widgets, it
depends of your screen resolution.","В этом подменю вы можете настроить ваши виджеты как вам угодно.
Виджеты помещаются на верхней панели.
Заметьте что не все виджеты могут помещаться, поэтому игра имеет максимальное ограничение,
в зависимости от вашего разрешения экрана.",
DESC_TAKEBACK,"Other player request takeback. 
Accept ?","Другой игрок запрашивает возврат хода. 
Разрешить ?",
DESC_TAKEBACK_NO,Other player declined to do takeback !,Другой игрок не захотел возвращать ход !,
DESC_TAKEBACK_YES,Takeback approved !,Возврат хода одобрен !,
DESC_THEME,Choose interface theme.,Выберите тему интерфейса.,
DESC_UPDATE_GAMES,Updating list...,Обновляю список...,
DESC_USERNAME_INPUT,Login:,Логин:,
DESC_WELCOME,"Greetings in Modern Shogi. Game gives you many possibilities and before we can start, we can help you to setup basic personal settings for yourself. You can skip this step and use settings to configure yourself.","Greetings in Modern Shogi. Game gives you many possibilities and before we can start, we can help you to setup basic personal settings for yourself. You can skip this step and use settings to configure yourself.",
DESC_WIDGET_CLOCK,Local time of PC,Текущее время на ПК,
DESC_WIDGET_QUIT,Instant exit from the game,Немедленный выход из игры,
DESC_WIDGET_SANSARA,Used for theme switching,Используется для переключения тем,
FMT_81DOJO_KIF,(81Dojo KIF),(81Dojo KIF),
FMT_MODERN_KIF,(Modern KIF),(Modern KIF),
GAME_RESULT_CHECKMATE,Checkmate,Мат,
GAME_RESULT_DECLARE_WIN,Declare win,Объявление победы,
GAME_RESULT_DISCONNECT,Disconnect,Обрыв связи,
GAME_RESULT_ILLEGAL_MOVE,Illegal move,Неправильный ход,
GAME_RESULT_IMPASSE,Draw by impasse,Импасс,
GAME_RESULT_PERPETUAL_CHECK,Perpetual check,Вечный шах,
GAME_RESULT_REPETITION,Draw by repetition,Ничья повторами ходов,
GAME_RESULT_RESIGN,Resign,Проигрыш,
GAME_RESULT_TRYRULE_WIN,Throne captured,Захват трона,
GAME_TITLE,Modern Shogi,Modern Shogi,
GAME_TITLE_V,Modern Shogi,Modern Shogi,
HEADER_GAMETYPE,Type,Тип,
HEADER_HANDICAP,Handicap,Гандикап,
HEADER_PLACES,Places,Места,
HEADER_PLAYERS,Players,Игроки,
HEADER_SERVER_DESC,Description,Описание,
HEADER_TURN_COUNT,Turn,Ходы,
HTITLE_SETTINGS_SECTION_GAMEPLAY,Gameplay settings,Настройки игры,
HTITLE_SETTINGS_SECTION_GRAPHICS,Graphics settings,Настройки графики,
HTITLE_SETTINGS_SECTION_INPUT,Input settings,Настройки управления,
HTITLE_SETTINGS_SECTION_WIDGETS,Widget settings,Настройки виджетов,
KEY_CAMERA_DOWN,Camera : Down,Камера: Вниз,
KEY_CAMERA_LEFT,Camera: Left,Камера: Влево,
KEY_CAMERA_RESET,Camera: Reset,Камера: Сброс,
KEY_CAMERA_RIGHT,Camera : Right,Камера: Вправо,
KEY_CAMERA_UP,Camera : Up,Камера: Вверх,
KEY_FLIP_BOARD,Flip Board,Перевернуть Доску,
KEY_HISTORY_BACKWARD,History: Step Backward,История: Ход Назад,
KEY_HISTORY_FORWARD,History: Step Forward,История: Ход Вперёд,
KEY_HISTORY_PLAY,History: Playback,История: Воспроизведение,
KEY_HISTORY_PLAY_REVERSED,History: Playback(reversed),История: Обратное воспроизведение,
KEY_HISTORY_SHOW,History: Show Panel,История: Показать Панель,
KEY_HISTORY_TO_END,History: Rewind To Last,История: Перемотка В Конец,
KEY_HISTORY_TO_START,History: Rewind To First,История: Перемотка В Начало,
KEY_TOGGLE_HINT_MODE,Toggle Hint Mode,Включить Режим Подсказок,
LABEL_AGE,Age,Возраст,
LABEL_AGE,Age:,Возраст:,
LABEL_AGE_CHANGED,Age was changed,Возраст был изменён,
LABEL_ANIM_SPEED,Piece Movement Speed:,Скорость Передвижения Фигур:,
LABEL_AVATAR_CHANGED,Avatar was changed,Аватар был изменён,
LABEL_AWAIT_NAME,[...],[...],
LABEL_BLACK,Black,Чёрная,
LABEL_BLACK_WINS,Black Wins,Чёрные победили,
LABEL_BLACK2,Black,Чёрное,
LABEL_BLACK3,Black,Чёрный,
LABEL_BLACK4,Black,Чёрные,
LABEL_CHECK,Check,Шах,
LABEL_CHECK,Check !,Шах !,
LABEL_CHECKMATE,Checkmate,Мат,
LABEL_CHECKMATE,Checkmate,Мат,
LABEL_CHOOSE_ACTION,Choose action,Выберите действие,
LABEL_CHOOSE_ACTION,Choose next action,Выберите дальнейшее действие,
LABEL_CHOOSE_LANGUAGE,Choose your language to continue,Выберите ваш язык,
LABEL_CITY,City:,Город:,
LABEL_CITY_CHANGED,City was changed,Город был изменён,
LABEL_COUNTRY,Country:,Страна:,
LABEL_COUNTRY_CHANGED,Country was changed,Страна была изменена,
LABEL_COUNTRY_DESC,Country:,Страна:,
LABEL_COUNTRY2,Country,Страна,
LABEL_CURRENT_SONG,Current track:,Текущий трэк:,
LABEL_DAYS,Days:,Дни:,
LABEL_DESCRIPTION_CHANGED,Description was changed,Описание было изменено,
LABEL_DIR_FILECOUNT,File count:,Кол-во файлов:,
LABEL_DIR_FILECOUNT2,File count in sub-dirs:,Кол-во файлов в под-папках:,
LABEL_DIR_SUBDIR_COUNT,Sub-dir count:,Кол-во под-папок:,
LABEL_DIR_TYPE_NORMAL,Ordinary directory,Обычная папка,
LABEL_DIR_TYPE_ROOT,Root directory,Корневая папка,
LABEL_DISCONNECTED,Other player disconnected !,Другой игрок отсоединился !,
LABEL_DISCONNECTED2,has been defeated by disconnection !,проиграл оборвав связь !,
LABEL_EMAIL_CHANGED,EMail was changed,EMail был изменён,
LABEL_ESTIMATED_UNBAN,Estimated time for unban,Время до снятия бана,
LABEL_EXTRA_PROFILE_ATTENTION,"Theses options can be used in multiplayer game.
However, you can disable it or not use at all.
Email is not used in public and reserved for future.","Эти сведения могут быть использованы в сетевой игре.
Однако, вы можете отключить их использование или не указывать вообще.
Email не будет показан другим игрокам и зарезервирован на будущее.",
LABEL_EXTRA_PROFILE_TITLE,Optional info,Необязательные сведения,
LABEL_FILENAME,File name:,Имя файла:,
LABEL_FIRST_INIT,First initialization,Первичная настройка,
LABEL_FIRSTNAME_CHANGED,First Name was changed,Настоящее имя пользователя было изменено,
LABEL_GAME_NAME_SHOGI,Shogi,Сёги,
LABEL_GENDER,Gender:,Пол:,
LABEL_GENDER_CHANGED,Gender was changed,Пол был изменен,
LABEL_GFX_RESOLUTION,Resolution(need restart):,Разрешение экрана(требуется перезапуск):,
LABEL_GOTE,Gote,Готэ,
LABEL_GOTE_CHECKMATE,Checkmate. Black wins !,Мат ! Чёрные победили.,
LABEL_GOTE_ILLEGAL_MOVE,Illegal move. Black wins !,Неправильный ход. Чёрные победили !,
LABEL_GRID_THICKNESS,Grid thickness,Толщина линий сетки,
LABEL_HANDICAP_BISHOP,Bishop,Слон,
LABEL_HANDICAP_DRAGONFLY,Dragonfly,Стрекоза,
LABEL_HANDICAP_DRAGONFLY_KNIGHTS,Dragonfly with Lances and Knights,Стрекоза с Копьями и Конями,
LABEL_HANDICAP_DRAGONFLY_LANCES,Dragonfly,Стрекоза с Копьями,
LABEL_HANDICAP_LEFT_LANCE,Lance,Копьё,
LABEL_HANDICAP_NONE,None,Нет,
LABEL_HANDICAP_ONLY_KING,Only King,Только Король,只玉將
LABEL_HANDICAP_PAWNS3,Pawns3,(3)Пешки,
LABEL_HANDICAP_PIECE10,Piece3,(10)Фигуры,
LABEL_HANDICAP_PIECE2,Piece2,(2)Фигуры,
LABEL_HANDICAP_PIECE3,Piece3,(3)Фигуры,
LABEL_HANDICAP_PIECE4,Piece4,(4)Фигуры,
LABEL_HANDICAP_PIECE5,Piece5,(5)Фигуры,
LABEL_HANDICAP_PIECE6,Piece6,(6)Фигуры,
LABEL_HANDICAP_PIECE7,Piece7,(7)Фигуры,
LABEL_HANDICAP_PIECE8,Piece8,(8)Фигуры,
LABEL_HANDICAP_PIECE9,Piece3,(9)Фигуры,
LABEL_HANDICAP_ROOK,Rook,Ладья,
LABEL_HANDICAP_ROOK_LEFT_LANCE,Rook and Lance,Ладья и Копьё,
LABEL_HISTORY,History,История,
LABEL_HISTORY_ELEMENT_COUNT,Element count:,Количество элементов:,
LABEL_HISTORY_SCALE,Panel size:,Размер панели:,
LABEL_HOURS,Hours:,Часы:,
LABEL_ILLEGAL_MOVE,has been defeated by making illegal move !,проиграл сделав неправильный ход !,
LABEL_IS_WINNER,is victorious !,побеждает !,
LABEL_KEY_CAMERA_PITCH,Camera vertical rotation,Вертикальное вращение камеры,
LABEL_KEY_CAMERA_RESET,Camera reset,Сброс камеры,
LABEL_KEY_CAMERA_YAW,Camera horizontal rotation,Горизонтальное вращение камеры,
LABEL_KEY_HISTORY,Open history,Открыть историю,
LABEL_KEY_HISTORY_BACK,History back,Назад по истории,
LABEL_KEY_HISTORY_FORWARD,History forward,Вперёд по истории,
LABEL_LASTNAME_CHANGED,Last Name was changed,Фамилия была изменена,
LABEL_LOADING,Loading:,Загрузка,
LABEL_LOSS,Loss,Поражение,
LABEL_LOSS2,You have lost,Вы проиграли,
LABEL_MINUTES,Minutes:,Минуты:,
LABEL_MINUTES2,min.,мин.,
LABEL_MINUTES3,m.,м.,
LABEL_MP_GAME_PRIVATE,Private game,Приватная игра,
LABEL_MP_GAME_RATED,Rated game,Рейтинговая игра,
LABEL_MP_GAME_UNRATED,Unrated game,Игра без рейтинга,
LABEL_MP_GAMES,Rooms:,Комнаты:,
LABEL_MP_OPEN_GAMES,Open games:,Открытые игры:,
LABEL_MP_SAVE_CONFIRM,Do you want to save your changes ?,Вы хотите сохранить изменения ?,
LABEL_MP_USERS,Players,Игроки,
LABEL_MP_USERS_ALL,All:,Всего:,
LABEL_MP_USERS_ONLINE,Online:,Онлайн:,
LABEL_MSG_ERROR,Error,Ошибка,
LABEL_MUSIC_ORDER,Play order:,Порядок воспроизведения:,
LABEL_NEW_ACTIONS,Choose next action:,Выберите дальнейшее действие:,
LABEL_OPEN,Open games:,Открытых игр:,
LABEL_OPP_CHECKMATE,Opponent have loss a game by checkmate !,Вы поставили мат королю соперника и победили !,
LABEL_OPP_RESIGN,Opponent have loss a game by resign !,Противник проиграл игру, сдавшись вам !
LABEL_OR,Or,Или,
LABEL_PASSWORD_CHANGED,Password was changed,Пароль был изменён,
LABEL_PERSONAL_INFORMATION,Optional personal information,Необязательная персональная информация,
LABEL_PROFILE_AGE,Age:,Возраст:,
LABEL_PROFILE_CITY,City:,Город:,
LABEL_PROFILE_DESCRIPTION,Description:,О себе:,
LABEL_PROFILE_EMAIL,EMail:,EMail:,
LABEL_PROFILE_FIRST_NAME,First Name:,Имя:,
LABEL_PROFILE_GENDER,Gender:,Пол:,
LABEL_PROFILE_LAST_NAME,Last Name:,Фамилия:,
LABEL_PROFILE_PASSWORD,Password:,Пароль:,
LABEL_PROFILE_PROTECTION,Security,Безопасность,
LABEL_PROFILE_USERNAME,Username:,Имя:,
LABEL_LOCAL_NAME,Local player name:,Локальное имя профиля:,
LABEL_PROMOTION,Promotion,Превращение,
LABEL_RANDOM,Random,Случайная,
LABEL_REPLAY_DATE,Date:,Дата:,
LABEL_REPLAY_DONE,Replay done,Повтор окончен,
LABEL_REPLAY_DONE2,Replay done:,Повтор окончен:,
LABEL_REPLAY_GOTE_NAME,White player:,Белый игрок:,
LABEL_REPLAY_HANDICAP,Handicap:,Фора:,
LABEL_REPLAY_MOVECOUNT,Move count:,Кол-во ходов:,
LABEL_REPLAY_NAME,Replay name:,Имя повтора:,
LABEL_REPLAY_PLACE,Place:,Место:,
LABEL_REPLAY_RESULT,Result:,Результат:,
LABEL_REPLAY_SAVED,Replay saved in :,Повтор сохранён в :,
LABEL_REPLAY_SENTE_NAME,Black player:,Чёрный игрок:,
LABEL_REPLAY_TIMECONTROL,Time control:,Контроль времени:,
LABEL_REPLAY_WINNER,Winner:,Победитель:,
LABEL_RESIGN,You have resigned !,Вы сдались !,
LABEL_RESIGN2,resigned,сдался,
LABEL_SECONDS,Seconds:,Секунды:,
LABEL_SECONDS2,sec.,сек.,
LABEL_SECONDS3,s.,с.,
LABEL_SENTE,Sente,Сэнтэ,
LABEL_SENTE_CHECKMATE,Checkmate. White wins !,Мат ! Белые победили.,
LABEL_SENTE_ILLEGAL_MOVE,Illegal move. White wins !,Неправильный ход. Белые победили !,
LABEL_SERVER_CLOSED,Master server was closed,Мастер сервер завершил работу,
LABEL_SERVER_CONNECTION,Connection...,Соединение...,
LABEL_SERVER_CONNECTION_FAIL,Cannot establish connection to master server !,Не могу установить соединение с мастер сервером !,
LABEL_SERVER_COUNT_DESC,Found,Найдено,
LABEL_SERVER_COUNT_DESC2,games,игры,
LABEL_SERVER_COUNT_DESC3,games,игр,
LABEL_SERVER_ERROR,Error code =,Ошибка код =,
LABEL_SERVER_LIST_EMPTY,Game list is empty,Список игр пуст,
LABEL_SERVER_LIST_ONE,Found 1 server,Найден 1 сервер,
LABEL_SFEN,SFEN,SFEN,
LABEL_SFEN_TEST,Test SFEN string:,Тестовая строка SFEN:,
LABEL_UNKNOWN_ERROR,Unknown error,Неизвестная ошибка,
LABEL_USERNAME_CHANGED,Username was changed,Имя пользователя было изменено,
LABEL_VICTORY,Victory,Победа,
LABEL_VICTORY,You are victorious !,Вы победили !,
LABEL_VICTORY2,You are victorious !,Вы победили !,
LABEL_VOLUME,Volume:,Громкость:,
LABEL_WHITE,White,Белая,
LABEL_WHITE_WINS,White wins,Белые победили,
LABEL_WHITE2,White,Белое,
LABEL_WHITE3,White,Белый,
LABEL_WHITE4,White,Белые,
LABEL_WIDGET_CLOCK,Clock,Часы,
LABEL_WIDGET_QUICK_QUIT,Quick Quit,Быстрый Выход,
LABEL_WIDGET_SANSARA,Sansara Ring,Колесо Сансары,轮回轮
LABEL_WINSIDE_GOTE,Gote Victory,Победа Готэ(белые),
LABEL_WINSIDE_SENTE,Sente Victory,Победа Сэнтэ(чёрные),
LABEL_WON,won,победил,
LABEL_YOU_SELECT_USER,You select,Вы выбрали,
LB_GOODBAY1,Good bay ! :),До свидания ! :),
LB_GOODBAY2,Thanks you for pays attention to this game !,Спасибо что провели время за игрой !,
LB_GOODBAY3,We hope you enjoy !,Надеемся вам понравилось,
LB_QUIT_QUESTION,Are you sure you want to quit ?,Вы уверены что хотите выйти ?,
MP_ACCOUNT_SUSPENDED,Your account have been blocked !,Ваш аккаунт заблокирован !,
MP_ACCOUNT_SUSPENDED,Account suspended,Действие аккаунта приостановлено,
MP_AGREEMENT,Accept for transfering personal data,Согласен на обработку персональных данных,
MP_AWAIT,Awaiting…,Ожидание…,
MP_BAN,ban,забанил,
MP_BAN_REASON_CHEATING,Reason: Cheating,Причина: Нечестная игра,
MP_BAN_REASON_EMPTY,Reason: Just like that,Причина: Просто так,
MP_BAN_REASON_OFFENDING,Reason: Offending other players,Причина: Оскорбление других игроков,
MP_BAN_REASON_SPAM,Reason: Spam,Причина: Спам,
MP_BANNED,You was banned !,Вы были забанены !,
MP_BANREASON_CHEATING,by cheating,за читерство,
MP_BANREASON_FORFUN,by unknown reason,по неизвестной причине,
MP_BANREASON_OFFENDS,by offending other players,за оскорбление других игроков,
MP_BANREASON_SPAM,by spam,из-за спама,
MP_CLOSEWINDOW,This window will close in,Это окно закроется через,
MP_CONNECTION_ESTABLISHED,Connection established,Соединение установлено,
MP_DECLINE,Server decline your request !,Сервер отклонил ваш запрос !,
MP_DISCONNECTED,You was disconnected from server,Вы были отключены от сервера,
MP_DISCONNECTING,We are sorry,Сожалеем,
MP_ENTER,Entering...,Входим на сервер...,
MP_ENTER,Entrance to server,Вход на сервер,
MP_ERROR,Error,Ошибка,
MP_FILE_ERROR,File error,File error,
MP_FOR,for,за,
MP_INVALID_LOGIN,Invalid login or password,Неправильный логин или пароль,
MP_IPBAN,Your IP is in the blacklist on server.,Ваш IP находится в чёрном списке сервера.,
MP_IPBAN_FOREVER,Your IP is in the blacklist on server for unknown amount of time.,Ваш IP находится в чёрном списке сервера на неопределённое время.,
MP_JOIN_ATTEMPT,Attempting to join to main server…,Пытаемся присоединиться к главному серверу…,
MP_JOIN_FEMALE,has joined,вошла,
MP_JOIN_MALE,has joined,вошёл,
MP_JOIN_NEUTRAL,has joined,вошёл,
MP_KICK,kicks,кикнул,
MP_KICKED,You have been kicked !,Вы были выкинуты с сервера !,
MP_LEFT_FEMALE,has left,покинула сервер,
MP_LEFT_MALE,has left,покинул сервер,
MP_LEFT_NEUTRAL,has left,покинул сервер,
MP_LOAD_ADDRESS,Loading server address and port…,Загружаем адрес сервера и порт…,
MP_LOAD_STATUS,Loading server status...,Загрузка статуса сервера...,
MP_MAINTENANCE,Server in maintenance mode. Please try again later.,Сервер находится на техобслуживании. Попробуйте позднее.,
MP_PM,Private message from,Приватное сообщение от,
MP_PM_INVALID,Private message is invalid,Приватное сообщение неправильно составлено,
MP_POLL,Poll,Poll,
MP_REASON_UNKNOWN,Reason: Unknown error,Причина: Неизвестная ошибка,
MP_RECEIVER_NOT_EXIST,Receiver with that name does not exist,Получателя с таким именем не существует,
MP_RECEIVER_OFFLINE,Receiver with that name is offline,Получатель с таким именем в оффлайне,
MP_RECEIVER_YOURSELF,You cannot send private message to yourself,Вы не можете отправить приватное сообщение самому себе,
MP_SERVER_NOT_RESPONDING,Server not responding,Сервер не отвечает,
MP_SHUTDOWN,Server was shutdowned,Сервер был выключен,
MP_SIGNUP,Registration,Регистрация,
MP_SIGNUP_BANNED_NAME,This nickname is resticted !,Этот никнейм запрещён !,
MP_SIGNUP_INVALID_CITY,City name can contain only latin letters and '-' symbol,Имя города может содержать только латинские буквы и символ '-',
MP_SIGNUP_INVALID_NICKNAME,Invalid nickname,Неправильный никнейм,
MP_SIGNUP_INVALID_PASSWORD,Invalid password signature,Неверная сигнатура пароля,
MP_SIGNUP_OK,You have successfully signed up !,Вы успешно зарегистрировались !,
MP_SIGNUP_SUCCESS,SignUp success !,Регистрация прошла успешно !,
MP_SIGNUP_USER_ALREADY_EXIST,This username already registered. Choose another.,Это имя пользователя уже занято. Выберите другое.,
MP_SUCCESS,Success,Success,
MP_TEST_YOUR_PROFILE,Checking your info...,Проверяем вашу информацию...,
MP_TIMEOUT,Connection timeout,Таймаут соединения,
MP_TIMEOUT_DESC,Server may be shutdowned or your internet connection is broken,Сервер мог быть закрыт или ваше интернет соединение разорвано,
MP_USER_ALREADY_EXISTED,Error: User with same name is already exist !,Ошибка: Пользователь с таким именем уже существует !,
NAME_YOU,You,Вы,
NAME_YOU,You,Вы,
PH_EMPTY,<Empty>,<Пусто>,
POPUP_AWAIT_ANSWER,"Request sended.
Await opponent answer.","Предложение отправлено.
Ожидайте ответа оппонента.",
POPUP_AWAIT_DISCONNECTED,"Unable to send request.
Other player is disconnected.","Невозможно отправить запрос.
Другой игрок не присоединён.",
POPUP_AWAIT_GAMEOVER,"Unable to send request.
Game is already over.","Невозможно отправить запрос.
Игра уже завершена.",
POPUP_AWAIT_YOUR_TURN,"Unable to send request.
This request can be sended only on your turn.","Невозможно отправить запрос.
Этот запрос может быть отправлен только на вашем ходу.",
POPUP_CONNECTED,is connected !,присоединился !,
POPUP_DISCONNECTED,is disconnected !,отсоединился !,
POPUP_RECONNECTED,reconnected !,переподключился !,
PSTYLE_KANJI,Kanji,Кандзи,
PSTYLE_SYMBOLS,Symbolic,Буквенный,
PSTYLE_WESTERN,Chess-like,Шахматный,
PT_SHOGI_BISHOP,Bishop,Слон,
PT_SHOGI_GOLD,Gold General,Золотой Генерал,
PT_SHOGI_KING,King,Король,玉將
PT_SHOGI_KNIGHT,Knight,Конь,
PT_SHOGI_LANCE,Lance,Копьё,
PT_SHOGI_PAWN,Pawn,Пешка,
PT_SHOGI_PROMOTED_BISHOP,Horse,Лошадиный Дракон,
PT_SHOGI_PROMOTED_KNIGHT,Promoted Knight,Превращённый Конь,
PT_SHOGI_PROMOTED_LANCE,Promoted Lance,Превращённое Копьё,
PT_SHOGI_PROMOTED_PAWN,Tokin,Токин,
PT_SHOGI_PROMOTED_ROOK,Dragon,Королевский Дракон,
PT_SHOGI_PROMOTED_SILVER,Promoted Silver General,"
Превращённый 
Серебряный Генерал",
PT_SHOGI_ROOK,Rook,Ладья,
PT_SHOGI_SILVER,Silver General,Серебряный Генерал,
RB_CAMERA_MODE_FIXED,Fixed,Фиксированная,
RB_CAMERA_MODE_FLY,Fly,Полёт,
RB_CAMERA_MODE_WALKING,Walking,Ходьба,
RB_CLOCK_FORMAT_12,12-hours,12-часов,
RB_CLOCK_FORMAT_24,24-hours,24-часа,
RB_CONNECT_IP,IP-address,IP,
RB_CONNECT_SERVER_LIST,Server list,Список серверов,
RB_FONT_FRIENDLY,Friendly,Дружественный,友好
RB_FONT_MODERN,Modern,Современный,現代
RB_GAME_SHOW_GRID,Show grid,Показывать сетку,
RB_HISTORY_STYLE_CHESS,Chess,Шахматный,
RB_HISTORY_STYLE_CLASSIC,Classic,Классический,
RB_HISTORY_SYMBOLS_EN,English,Английский,
RB_HISTORY_SYMBOLS_JP,Japanese,Японский,
RB_LIGHT_THEME,Light,Светлая,
RB_LOAD_METHOD_REPLAY,From replay,Из повтора,
RB_LOAD_METHOD_SFEN,SFEN string,Строка SFEN,
